txn_id,customer_id,account_id,txn_date,amount,txn_type,merchant_category,device,ml_score,ml_flag,explain_top
TXN100329,1005,AC168630,2025-07-29 04:52:18,188941.63,1,2,1,0.975,1,"[[""hour"", 0.0007331905530583889], [""amount"", -0.48354653855507557], [""amount"", -0.48354653855507557], [""hour"", 0.0007331905530583889], [""amount"", -0.48354653855507557], [""hour"", 0.0007331905530583889]]"
TXN100587,1006,AC168403,2025-08-22 13:35:35,111237.41,1,6,2,0.99,1,"[[""amount"", -0.44727147019600433], [""hour"", -0.008600311344959269], [""hour"", -0.008600311344959269], [""amount"", -0.44727147019600433], [""hour"", -0.008600311344959269], [""amount"", -0.44727147019600433]]"
TXN101396,1006,AC139179,2025-08-27 13:07:40,127327.53,1,4,0,0.995,1,"[[""amount"", -0.45196278683362473], [""hour"", -0.0068561847441465824], [""hour"", -0.0068561847441465824], [""amount"", -0.45196278683362473], [""hour"", -0.0068561847441465824], [""amount"", -0.45196278683362473]]"
TXN100272,1006,AC101186,2025-09-19 05:25:19,116135.54,1,7,0,0.99,1,"[[""hour"", 0.00010062903769659998], [""amount"", -0.4558383432711877], [""amount"", -0.4558383432711877], [""hour"", 0.00010062903769659998], [""hour"", 0.00010062903769659998], [""amount"", -0.4558383432711877]]"
TXN101611,1007,AC116040,2025-08-18 14:35:12,198061.41,1,4,0,0.995,1,"[[""hour"", -0.00041936483402033704], [""amount"", -0.4797179532863957], [""hour"", -0.00041936483402033704], [""amount"", -0.4797179532863957], [""amount"", -0.4797179532863957], [""hour"", -0.00041936483402033704]]"
TXN100779,1008,AC137544,2025-07-03 19:11:02,188447.88,0,1,2,0.985,1,"[[""hour"", 0.004279441277902163], [""amount"", -0.4636122776510867], [""amount"", -0.4636122776510867], [""hour"", 0.004279441277902163], [""hour"", 0.004279441277902163], [""amount"", -0.4636122776510867]]"
TXN100538,1008,AC126703,2025-07-07 14:11:40,71789.43,0,5,2,0.015,0,"[[""amount"", 0.4368148977217741], [""hour"", 0.0031405453016929694], [""amount"", 0.4368148977217741], [""hour"", 0.0031405453016929694], [""amount"", 0.4368148977217741], [""hour"", 0.0031405453016929694]]"
TXN101257,1008,AC116287,2025-09-21 01:33:44,145121.81,1,6,1,0.995,1,"[[""hour"", -0.01529219930574144], [""amount"", -0.457450727808221], [""hour"", -0.01529219930574144], [""amount"", -0.457450727808221], [""hour"", -0.01529219930574144], [""amount"", -0.457450727808221]]"
TXN101041,1009,AC169697,2025-07-04 11:01:31,62085.7,0,2,1,0.02,0,"[[""amount"", 0.47863527776059217], [""hour"", 0.0030142032798795857], [""amount"", 0.47863527776059217], [""hour"", 0.0030142032798795857], [""amount"", 0.47863527776059217], [""hour"", 0.0030142032798795857]]"
TXN100339,1010,AC150776,2025-09-07 10:44:11,167798.2,0,1,1,0.97,1,"[[""hour"", 0.002172167761642947], [""amount"", -0.4684960166696882], [""amount"", -0.4684960166696882], [""hour"", 0.002172167761642947], [""hour"", 0.002172167761642947], [""amount"", -0.4684960166696882]]"
TXN101940,1011,AC164476,2025-08-18 16:57:35,114559.01,1,6,1,0.98,1,"[[""hour"", -0.0042757895724702625], [""amount"", -0.4592499433581677], [""hour"", -0.0042757895724702625], [""amount"", -0.4592499433581677], [""amount"", -0.4592499433581677], [""hour"", -0.0042757895724702625]]"
TXN101915,1012,AC184999,2025-08-06 17:27:54,117796.68,0,3,1,0.985,1,"[[""hour"", -0.0068251872881168706], [""amount"", -0.4530684156903783], [""hour"", -0.0068251872881168706], [""amount"", -0.4530684156903783], [""hour"", -0.0068251872881168706], [""amount"", -0.4530684156903783]]"
TXN101054,1012,AC195498,2025-08-22 20:46:23,232909.12,1,2,0,1.0,1,"[[""hour"", 0.0036790792135692053], [""amount"", -0.4781239093097187], [""amount"", -0.4781239093097187], [""hour"", 0.0036790792135692053], [""hour"", 0.0036790792135692053], [""amount"", -0.4781239093097187]]"
TXN101379,1013,AC159526,2025-07-02 15:33:25,198433.66,1,4,2,1.0,1,"[[""amount"", -0.4690495936750352], [""hour"", -0.0036886269524732127], [""hour"", -0.0036886269524732127], [""amount"", -0.4690495936750352], [""hour"", -0.0036886269524732127], [""amount"", -0.4690495936750352]]"
TXN101976,1014,AC155019,2025-07-05 04:08:24,156902.3,1,5,0,0.995,1,"[[""hour"", -0.002328695106834421], [""amount"", -0.4702614384244628], [""hour"", -0.002328695106834421], [""amount"", -0.4702614384244628], [""hour"", -0.002328695106834421], [""amount"", -0.4702614384244628]]"
TXN101673,1014,AC160823,2025-07-25 00:39:33,192409.22,1,7,0,0.995,1,"[[""hour"", -0.010415743630057355], [""amount"", -0.4555443569535986], [""hour"", -0.010415743630057355], [""amount"", -0.4555443569535986], [""hour"", -0.010415743630057355], [""amount"", -0.4555443569535986]]"
TXN101789,1014,AC137456,2025-08-03 16:54:17,58810.1,1,1,1,0.0,0,"[[""amount"", 0.4712023021873658], [""hour"", 0.006518548076594571], [""amount"", 0.4712023021873658], [""hour"", 0.006518548076594571], [""hour"", 0.006518548076594571], [""amount"", 0.4712023021873658]]"
TXN100530,1014,AC149086,2025-09-18 01:42:06,144337.85,1,1,0,0.985,1,"[[""hour"", -0.01691976089110737], [""amount"", -0.46772870044997167], [""hour"", -0.01691976089110737], [""amount"", -0.46772870044997167], [""hour"", -0.01691976089110737], [""amount"", -0.46772870044997167]]"
TXN100690,1015,AC194433,2025-08-03 02:36:02,159765.73,1,3,2,1.0,1,"[[""hour"", -0.013179553031332615], [""amount"", -0.4708295805958927], [""hour"", -0.013179553031332615], [""amount"", -0.4708295805958927], [""hour"", -0.013179553031332615], [""amount"", -0.4708295805958927]]"
TXN101106,1016,AC119871,2025-07-23 11:20:25,240456.75,0,2,0,0.985,1,"[[""hour"", -0.009587922285074804], [""amount"", -0.47111343471849426], [""hour"", -0.009587922285074804], [""amount"", -0.47111343471849426], [""hour"", -0.009587922285074804], [""amount"", -0.47111343471849426]]"
TXN100058,1016,AC135095,2025-08-29 18:36:55,202126.97,1,2,0,1.0,1,"[[""hour"", -0.004194598244563074], [""amount"", -0.474102880838513], [""hour"", -0.004194598244563074], [""amount"", -0.474102880838513], [""hour"", -0.004194598244563074], [""amount"", -0.474102880838513]]"
TXN100508,1016,AC172585,2025-09-08 22:29:41,142893.75,1,4,1,0.995,1,"[[""hour"", 0.0030149812843242676], [""amount"", -0.4781664012322036], [""amount"", -0.4781664012322036], [""hour"", 0.0030149812843242676], [""hour"", 0.0030149812843242676], [""amount"", -0.4781664012322036]]"
TXN100177,1016,AC109113,2025-09-23 20:59:18,50029.5,1,0,2,0.02,0,"[[""amount"", 0.44083394175428064], [""hour"", 0.005244544436402766], [""amount"", 0.44083394175428064], [""hour"", 0.005244544436402766], [""amount"", 0.44083394175428064], [""hour"", 0.005244544436402766]]"
TXN100737,1018,AC109824,2025-07-10 10:11:16,236218.4,1,2,0,0.99,1,"[[""hour"", -0.0010855326278924797], [""amount"", -0.48496671629388566], [""hour"", -0.0010855326278924797], [""amount"", -0.48496671629388566], [""amount"", -0.48496671629388566], [""hour"", -0.0010855326278924797]]"
TXN101875,1019,AC124561,2025-09-01 15:38:19,6701.86,1,0,0,0.005,0,"[[""amount"", 0.44997594041930117], [""hour"", 0.0026642976303991777], [""amount"", 0.44997594041930117], [""hour"", 0.0026642976303991777], [""amount"", 0.44997594041930117], [""hour"", 0.0026642976303991777]]"
TXN100734,1019,AC100517,2025-09-19 22:28:52,39960.66,1,4,1,0.04,0,"[[""amount"", 0.46533366997300885], [""hour"", -0.010132524665359247], [""hour"", -0.010132524665359247], [""amount"", 0.46533366997300885], [""amount"", 0.46533366997300885], [""hour"", -0.010132524665359247]]"
TXN101271,1020,AC101554,2025-08-20 01:50:57,176475.66,0,4,0,0.995,1,"[[""hour"", -0.012284580594936957], [""amount"", -0.4554229984990292], [""hour"", -0.012284580594936957], [""amount"", -0.4554229984990292], [""hour"", -0.012284580594936957], [""amount"", -0.4554229984990292]]"
TXN100355,1020,AC172485,2025-08-30 00:57:25,177162.65,1,3,2,0.985,1,"[[""hour"", -0.006771907720814665], [""amount"", -0.472762263548831], [""hour"", -0.006771907720814665], [""amount"", -0.472762263548831], [""hour"", -0.006771907720814665], [""amount"", -0.472762263548831]]"
TXN101947,1020,AC137818,2025-09-04 11:38:23,45380.56,1,3,0,0.01,0,"[[""amount"", 0.4764729631679704], [""hour"", 0.004535108499199947], [""amount"", 0.4764729631679704], [""hour"", 0.004535108499199947], [""amount"", 0.4764729631679704], [""hour"", 0.004535108499199947]]"
TXN100912,1020,AC149600,2025-09-28 20:14:32,216160.34,1,7,2,0.925,1,"[[""amount"", -0.46308653833364105], [""hour"", 0.024343611701819427], [""amount"", -0.46308653833364105], [""hour"", 0.024343611701819427], [""amount"", -0.46308653833364105], [""hour"", 0.024343611701819427]]"
TXN100749,1021,AC124669,2025-07-04 15:26:33,160242.64,1,7,1,0.99,1,"[[""hour"", -0.0023097165148949434], [""amount"", -0.4484180200632612], [""hour"", -0.0023097165148949434], [""amount"", -0.4484180200632612], [""hour"", -0.0023097165148949434], [""amount"", -0.4484180200632612]]"
TXN100578,1021,AC185193,2025-08-27 06:26:35,201555.77,1,1,2,1.0,1,"[[""hour"", -0.0015410790786507351], [""amount"", -0.47508779415576957], [""hour"", -0.0015410790786507351], [""amount"", -0.47508779415576957], [""hour"", -0.0015410790786507351], [""amount"", -0.47508779415576957]]"
TXN101063,1021,AC118844,2025-08-29 16:20:33,43049.57,1,2,0,0.0,0,"[[""amount"", 0.472432135419882], [""hour"", 0.006259826080897628], [""amount"", 0.472432135419882], [""hour"", 0.006259826080897628], [""amount"", 0.472432135419882], [""hour"", 0.006259826080897628]]"
TXN101034,1022,AC112996,2025-07-13 23:24:14,77401.41,1,1,0,0.035,0,"[[""amount"", 0.4528670452647877], [""hour"", -0.004828893102624594], [""hour"", -0.004828893102624594], [""amount"", 0.4528670452647877], [""amount"", 0.4528670452647877], [""hour"", -0.004828893102624594]]"
TXN100401,1022,AC173017,2025-09-01 19:32:13,89813.89,1,3,2,0.045,0,"[[""hour"", 0.00934883348748166], [""amount"", 0.4557957787386006], [""amount"", 0.4557957787386006], [""hour"", 0.00934883348748166], [""hour"", 0.00934883348748166], [""amount"", 0.4557957787386006]]"
TXN100244,1023,AC159145,2025-08-08 04:08:28,101993.87,1,7,0,0.99,1,"[[""hour"", -0.008790594855703517], [""amount"", -0.42496046737834475], [""hour"", -0.008790594855703517], [""amount"", -0.42496046737834475], [""hour"", -0.008790594855703517], [""amount"", -0.42496046737834475]]"
TXN101249,1023,AC129308,2025-09-21 01:25:24,177527.51,1,6,1,1.0,1,"[[""hour"", -0.015068604516503204], [""amount"", -0.46280422067778415], [""hour"", -0.015068604516503204], [""amount"", -0.46280422067778415], [""hour"", -0.015068604516503204], [""amount"", -0.46280422067778415]]"
TXN101029,1024,AC110189,2025-08-05 03:50:56,219979.79,1,6,1,0.985,1,"[[""hour"", -0.009754044372918925], [""amount"", -0.4720073061906538], [""hour"", -0.009754044372918925], [""amount"", -0.4720073061906538], [""amount"", -0.4720073061906538], [""hour"", -0.009754044372918925]]"
TXN100121,1024,AC148159,2025-08-25 03:06:21,63299.13,0,4,2,0.045,0,"[[""amount"", 0.4404886369962959], [""hour"", -0.023240299083092268], [""hour"", -0.023240299083092268], [""amount"", 0.4404886369962959], [""amount"", 0.4404886369962959], [""hour"", -0.023240299083092268]]"
TXN100788,1024,AC136936,2025-08-27 09:53:51,106058.44,1,0,1,0.98,1,"[[""hour"", 0.000806112973035967], [""amount"", -0.4477681033864248], [""amount"", -0.4477681033864248], [""hour"", 0.000806112973035967], [""hour"", 0.000806112973035967], [""amount"", -0.4477681033864248]]"
TXN100653,1024,AC186719,2025-08-28 16:05:29,81901.42,1,2,2,0.01,0,"[[""amount"", 0.4615603895242584], [""hour"", 0.008142429055729353], [""amount"", 0.4615603895242584], [""hour"", 0.008142429055729353], [""amount"", 0.4615603895242584], [""hour"", 0.008142429055729353]]"
TXN101621,1024,AC169693,2025-09-07 23:05:03,180006.19,1,6,1,0.94,1,"[[""hour"", 0.01092129930055483], [""amount"", -0.46771477066182404], [""amount"", -0.46771477066182404], [""hour"", 0.01092129930055483], [""hour"", 0.01092129930055483], [""amount"", -0.46771477066182404]]"
TXN100613,1025,AC159618,2025-09-22 08:02:51,63365.0,1,5,2,0.065,0,"[[""hour"", 0.01116764060452519], [""amount"", 0.4678183817689788], [""amount"", 0.4678183817689788], [""hour"", 0.01116764060452519], [""hour"", 0.01116764060452519], [""amount"", 0.4678183817689788]]"
TXN101785,1026,AC108981,2025-08-27 16:31:58,13364.66,1,3,1,0.005,0,"[[""amount"", 0.4631583782561023], [""hour"", 0.014053426292238649], [""amount"", 0.4631583782561023], [""hour"", 0.014053426292238649], [""hour"", 0.014053426292238649], [""amount"", 0.4631583782561023]]"
TXN101086,1026,AC188475,2025-09-07 17:10:42,137823.35,1,4,0,0.995,1,"[[""amount"", -0.4731140203814109], [""hour"", -0.005244210035089723], [""hour"", -0.005244210035089723], [""amount"", -0.4731140203814109], [""hour"", -0.005244210035089723], [""amount"", -0.4731140203814109]]"
TXN101762,1027,AC131705,2025-07-25 03:52:18,153705.53,1,4,1,1.0,1,"[[""hour"", -0.008055152944301036], [""amount"", -0.45412951241809846], [""hour"", -0.008055152944301036], [""amount"", -0.45412951241809846], [""hour"", -0.008055152944301036], [""amount"", -0.45412951241809846]]"
TXN101740,1027,AC120416,2025-09-16 17:52:43,186435.93,1,2,2,0.995,1,"[[""hour"", -0.005090856270874843], [""amount"", -0.4813796153490846], [""hour"", -0.005090856270874843], [""amount"", -0.4813796153490846], [""amount"", -0.4813796153490846], [""hour"", -0.005090856270874843]]"
TXN100146,1028,AC183931,2025-07-30 03:53:36,2687.75,1,2,2,0.055,0,"[[""amount"", 0.440297337306847], [""hour"", -0.024585973659226157], [""hour"", -0.024585973659226157], [""amount"", 0.440297337306847], [""hour"", -0.024585973659226157], [""amount"", 0.440297337306847]]"
TXN100827,1028,AC194873,2025-08-01 11:00:04,241803.95,1,3,2,0.995,1,"[[""hour"", -0.0017111186018740304], [""amount"", -0.47744740632554544], [""hour"", -0.0017111186018740304], [""amount"", -0.47744740632554544], [""hour"", -0.0017111186018740304], [""amount"", -0.47744740632554544]]"
TXN100565,1028,AC162915,2025-08-23 06:22:30,199277.74,1,0,0,0.995,1,"[[""hour"", -0.002007747369495092], [""amount"", -0.48224771014239004], [""hour"", -0.002007747369495092], [""amount"", -0.48224771014239004], [""hour"", -0.002007747369495092], [""amount"", -0.48224771014239004]]"
TXN101090,1029,AC120048,2025-08-02 00:20:22,63199.61,1,0,0,0.035,0,"[[""amount"", 0.4681080160518229], [""hour"", -0.013378386252416023], [""hour"", -0.013378386252416023], [""amount"", 0.4681080160518229], [""amount"", 0.4681080160518229], [""hour"", -0.013378386252416023]]"
TXN100199,1029,AC184590,2025-08-21 08:28:02,76671.15,1,3,1,0.025,0,"[[""amount"", 0.47562332857319417], [""hour"", 0.0027933566225345403], [""amount"", 0.47562332857319417], [""hour"", 0.0027933566225345403], [""amount"", 0.47562332857319417], [""hour"", 0.0027933566225345403]]"
TXN100419,1029,AC189067,2025-08-23 05:44:56,2491.17,1,7,1,0.025,0,"[[""amount"", 0.45543711133892334], [""hour"", 0.005053427997611513], [""amount"", 0.45543711133892334], [""hour"", 0.005053427997611513], [""hour"", 0.005053427997611513], [""amount"", 0.45543711133892334]]"
TXN101650,1030,AC167336,2025-07-03 15:49:16,110542.1,1,2,1,0.995,1,"[[""hour"", -0.005948911695107474], [""amount"", -0.44855758338307256], [""hour"", -0.005948911695107474], [""amount"", -0.44855758338307256], [""hour"", -0.005948911695107474], [""amount"", -0.44855758338307256]]"
TXN101111,1032,AC109867,2025-08-16 14:12:10,43335.3,1,6,1,0.0,0,"[[""hour"", 0.0035865432884125813], [""amount"", 0.48101912525985885], [""amount"", 0.48101912525985885], [""hour"", 0.0035865432884125813], [""amount"", 0.48101912525985885], [""hour"", 0.0035865432884125813]]"
TXN100099,1033,AC103939,2025-07-10 16:34:58,177609.09,0,0,1,1.0,1,"[[""hour"", -0.006712644257447206], [""amount"", -0.4633313041780233], [""hour"", -0.006712644257447206], [""amount"", -0.4633313041780233], [""hour"", -0.006712644257447206], [""amount"", -0.4633313041780233]]"
TXN101162,1034,AC110207,2025-09-07 09:20:45,42046.61,1,6,1,0.01,0,"[[""hour"", 0.00519134740494688], [""amount"", 0.47792709452269555], [""amount"", 0.47792709452269555], [""hour"", 0.00519134740494688], [""amount"", 0.47792709452269555], [""hour"", 0.00519134740494688]]"
TXN101573,1034,AC192986,2025-09-18 02:29:48,90884.97,1,6,0,0.015,0,"[[""amount"", 0.4688149949785935], [""hour"", -0.007755116872162744], [""hour"", -0.007755116872162744], [""amount"", 0.4688149949785935], [""amount"", 0.4688149949785935], [""hour"", -0.007755116872162744]]"
TXN100659,1035,AC124439,2025-08-29 04:30:12,245710.51,1,7,0,1.0,1,"[[""hour"", -0.002531759640315148], [""amount"", -0.4614312103887487], [""hour"", -0.002531759640315148], [""amount"", -0.4614312103887487], [""hour"", -0.002531759640315148], [""amount"", -0.4614312103887487]]"
TXN100722,1035,AC120783,2025-09-08 16:42:10,75203.73,0,6,1,0.03,0,"[[""amount"", 0.44748528317201686], [""hour"", 0.005824051715892504], [""amount"", 0.44748528317201686], [""hour"", 0.005824051715892504], [""amount"", 0.44748528317201686], [""hour"", 0.005824051715892504]]"
TXN101186,1037,AC164571,2025-07-20 04:16:45,123073.18,1,7,1,0.985,1,"[[""hour"", -0.005401153881922956], [""amount"", -0.45747528938561904], [""hour"", -0.005401153881922956], [""amount"", -0.45747528938561904], [""hour"", -0.005401153881922956], [""amount"", -0.45747528938561904]]"
TXN101467,1038,AC124198,2025-07-31 17:16:10,163170.04,1,6,1,0.99,1,"[[""hour"", -0.00621813553571578], [""amount"", -0.45275525968791797], [""hour"", -0.00621813553571578], [""amount"", -0.45275525968791797], [""hour"", -0.00621813553571578], [""amount"", -0.45275525968791797]]"
TXN100172,1038,AC174113,2025-08-04 01:42:59,164378.49,1,5,0,1.0,1,"[[""hour"", -0.016551405040879263], [""amount"", -0.46071895904270144], [""hour"", -0.016551405040879263], [""amount"", -0.46071895904270144], [""hour"", -0.016551405040879263], [""amount"", -0.46071895904270144]]"
TXN101282,1039,AC178171,2025-07-07 14:04:01,24724.22,1,2,2,0.045,0,"[[""hour"", 0.0006812447199740932], [""amount"", 0.4598629497648813], [""amount"", 0.4598629497648813], [""hour"", 0.0006812447199740932], [""hour"", 0.0006812447199740932], [""amount"", 0.4598629497648813]]"
TXN101296,1039,AC196187,2025-08-21 11:48:57,123700.81,1,6,1,0.975,1,"[[""amount"", -0.45913409057168764], [""hour"", -0.004439040713583673], [""hour"", -0.004439040713583673], [""amount"", -0.45913409057168764], [""amount"", -0.45913409057168764], [""hour"", -0.004439040713583673]]"
TXN100908,1039,AC110038,2025-09-11 01:52:25,15220.32,1,0,1,0.03,0,"[[""amount"", 0.45091855695087957], [""hour"", -0.013211190633805804], [""hour"", -0.013211190633805804], [""amount"", 0.45091855695087957], [""amount"", 0.45091855695087957], [""hour"", -0.013211190633805804]]"
TXN100286,1040,AC143128,2025-08-27 22:25:00,220118.37,0,6,2,0.96,1,"[[""hour"", 0.012841200634624426], [""amount"", -0.4806186627897636], [""amount"", -0.4806186627897636], [""hour"", 0.012841200634624426], [""hour"", 0.012841200634624426], [""amount"", -0.4806186627897636]]"
TXN100400,1041,AC186865,2025-07-06 15:31:24,104158.2,1,1,0,1.0,1,"[[""hour"", -0.011866082131484743], [""amount"", -0.45185449083924983], [""hour"", -0.011866082131484743], [""amount"", -0.45185449083924983], [""hour"", -0.011866082131484743], [""amount"", -0.45185449083924983]]"
TXN101074,1041,AC109882,2025-08-19 23:43:25,179552.31,1,2,2,0.995,1,"[[""hour"", -0.0018658367411095121], [""amount"", -0.4755517282164371], [""hour"", -0.0018658367411095121], [""amount"", -0.4755517282164371], [""amount"", -0.4755517282164371], [""hour"", -0.0018658367411095121]]"
TXN100221,1041,AC169795,2025-08-29 17:05:55,192566.64,1,0,0,0.995,1,"[[""hour"", -0.003540273701651735], [""amount"", -0.4806847431491179], [""hour"", -0.003540273701651735], [""amount"", -0.4806847431491179], [""hour"", -0.003540273701651735], [""amount"", -0.4806847431491179]]"
TXN101362,1041,AC181048,2025-09-24 08:18:28,171593.71,1,3,0,0.985,1,"[[""hour"", -0.001606661217903413], [""amount"", -0.47289118753558534], [""hour"", -0.001606661217903413], [""amount"", -0.47289118753558534], [""hour"", -0.001606661217903413], [""amount"", -0.47289118753558534]]"
TXN101527,1042,AC124984,2025-07-21 20:00:03,110710.51,1,3,1,0.995,1,"[[""hour"", 0.0008582702911111867], [""amount"", -0.45979653784104296], [""amount"", -0.45979653784104296], [""hour"", 0.0008582702911111867], [""hour"", 0.0008582702911111867], [""amount"", -0.45979653784104296]]"
TXN100691,1042,AC196378,2025-09-18 03:00:19,56947.09,0,7,0,0.01,0,"[[""amount"", 0.4585763646178688], [""hour"", -0.007460341690582222], [""hour"", -0.007460341690582222], [""amount"", 0.4585763646178688], [""amount"", 0.4585763646178688], [""hour"", -0.007460341690582222]]"
TXN101342,1043,AC161304,2025-07-01 15:38:51,54133.75,1,3,0,0.0,0,"[[""amount"", 0.4703919748574456], [""hour"", 0.0057302909326353525], [""amount"", 0.4703919748574456], [""hour"", 0.0057302909326353525], [""amount"", 0.4703919748574456], [""hour"", 0.0057302909326353525]]"
TXN100980,1045,AC163606,2025-08-14 12:54:25,110981.39,1,1,0,1.0,1,"[[""hour"", -0.009065175746799404], [""amount"", -0.45936952494439076], [""hour"", -0.009065175746799404], [""amount"", -0.45936952494439076], [""hour"", -0.009065175746799404], [""amount"", -0.45936952494439076]]"
TXN100092,1046,AC135000,2025-07-24 23:20:37,83934.35,1,4,2,0.02,0,"[[""hour"", -0.005418004528971608], [""amount"", 0.46119307925394376], [""hour"", -0.005418004528971608], [""amount"", 0.46119307925394376], [""amount"", 0.46119307925394376], [""hour"", -0.005418004528971608]]"
TXN100068,1046,AC192015,2025-08-23 13:34:20,249145.75,0,4,2,1.0,1,"[[""hour"", -0.010387411606771002], [""amount"", -0.46085060561146496], [""hour"", -0.010387411606771002], [""amount"", -0.46085060561146496], [""hour"", -0.010387411606771002], [""amount"", -0.46085060561146496]]"
TXN100784,1047,AC115361,2025-08-25 08:08:27,232765.98,1,6,0,0.985,1,"[[""hour"", -0.0010749628364421263], [""amount"", -0.47336460087617355], [""hour"", -0.0010749628364421263], [""amount"", -0.47336460087617355], [""amount"", -0.47336460087617355], [""hour"", -0.0010749628364421263]]"
TXN101171,1047,AC116393,2025-09-05 14:38:39,70767.45,1,4,0,0.03,0,"[[""amount"", 0.4834144628015509], [""hour"", 0.0034583351815756207], [""amount"", 0.4834144628015509], [""hour"", 0.0034583351815756207], [""amount"", 0.4834144628015509], [""hour"", 0.0034583351815756207]]"
TXN101817,1050,AC165641,2025-08-15 05:10:20,169603.43,1,4,2,0.995,1,"[[""hour"", -0.0004831711347864004], [""amount"", -0.47309125400045937], [""hour"", -0.0004831711347864004], [""amount"", -0.47309125400045937], [""hour"", -0.0004831711347864004], [""amount"", -0.47309125400045937]]"
TXN100489,1051,AC126848,2025-08-07 01:40:09,233965.6,0,4,2,0.99,1,"[[""hour"", -0.016187366693765907], [""amount"", -0.467004040980552], [""hour"", -0.016187366693765907], [""amount"", -0.467004040980552], [""hour"", -0.016187366693765907], [""amount"", -0.467004040980552]]"
TXN101793,1052,AC195955,2025-08-23 03:51:40,208490.26,0,2,2,0.985,1,"[[""hour"", -0.009271619216622362], [""amount"", -0.4572568670918827], [""hour"", -0.009271619216622362], [""amount"", -0.4572568670918827], [""hour"", -0.009271619216622362], [""amount"", -0.4572568670918827]]"
TXN100829,1053,AC157264,2025-09-10 08:35:40,185201.7,1,4,2,1.0,1,"[[""hour"", -0.0019976594131053617], [""amount"", -0.4541402343366403], [""hour"", -0.0019976594131053617], [""amount"", -0.4541402343366403], [""hour"", -0.0019976594131053617], [""amount"", -0.4541402343366403]]"
TXN100976,1055,AC147806,2025-08-16 18:37:59,182167.28,1,7,0,0.98,1,"[[""hour"", -0.004877782248808715], [""amount"", -0.45162973400549034], [""hour"", -0.004877782248808715], [""amount"", -0.45162973400549034], [""hour"", -0.004877782248808715], [""amount"", -0.45162973400549034]]"
TXN101324,1056,AC132216,2025-07-21 03:59:06,198109.04,0,4,2,0.97,1,"[[""hour"", -0.016917714469687293], [""amount"", -0.4615865207368532], [""hour"", -0.016917714469687293], [""amount"", -0.4615865207368532], [""amount"", -0.4615865207368532], [""hour"", -0.016917714469687293]]"
