txn_id,customer_id,account_id,txn_date,amount,txn_type,merchant_category,location,device
TXN100259,1166,AC155698,2025-07-06 21:50:10,97181.52,debit,Travel,South Alejandroside,mobile
TXN100260,1798,AC107317,2025-08-24 11:37:37,169128.66,credit,Salary,East Amanda,mobile
TXN100261,1390,AC171360,2025-09-22 09:26:59,145910.01,debit,Dining,New Randy,pos
TXN100262,1226,AC172769,2025-08-18 18:14:03,48064.39,debit,Dining,Lake Tonya,mobile
TXN100263,1825,AC164525,2025-09-18 00:02:19,214258.93,debit,Salary,Haileyborough,web
TXN100264,1849,AC176460,2025-07-17 19:43:34,57578.3,credit,Salary,Youngchester,pos
TXN100265,1608,AC145433,2025-07-27 08:46:38,146929.2,debit,Utilities,Port Jamieshire,pos
TXN100266,1356,AC175389,2025-08-21 20:04:49,63607.02,debit,Healthcare,Perezberg,pos
TXN100267,1776,AC101252,2025-07-10 11:12:36,130076.69,credit,Grocery,Crystalhaven,web
TXN100268,1767,AC144629,2025-07-24 21:47:54,65880.24,debit,Travel,Port Cheryl,pos
TXN100269,1115,AC149837,2025-09-15 03:02:51,230052.47,debit,Healthcare,Port Jamesfurt,mobile
TXN100270,1528,AC141794,2025-09-09 09:02:30,47886.98,debit,Travel,Clarkstad,mobile
TXN100271,1788,AC186569,2025-07-17 06:59:40,139864.23,debit,Healthcare,East Jesseburgh,pos
TXN100272,1006,AC101186,2025-09-19 05:25:19,116135.54,debit,Utilities,Deannachester,mobile
TXN100273,1909,AC107272,2025-07-03 09:11:16,122633.34,debit,Healthcare,New Adamberg,mobile
TXN100274,1918,AC187983,2025-07-20 04:13:37,16186.38,debit,Salary,Port Tylerport,web
TXN100275,1370,AC119890,2025-07-11 14:07:33,205418.03,debit,Entertainment,Johnport,pos
TXN100276,1872,AC152609,2025-08-07 22:59:12,163815.76,debit,Grocery,Jeffreychester,pos
TXN100277,1564,AC162860,2025-08-17 22:19:03,145960.42,debit,Healthcare,Davidbury,pos
TXN100278,1617,AC143451,2025-09-06 10:20:19,201802.95,debit,Shopping,South Meganborough,mobile
